label,basis,fit_points,fitted_logical_error_per_round,fit_slope,fit_intercept
baseline,memory_x,4,0.18388958527267135,-0.45851653217195026,0.6597823508875302
baseline,memory_z,4,0.18173038876735825,-0.45170924078538616,0.6758352368514287
decoder_holdout,memory_x,4,0.18433087088079103,-0.4599134931346208,0.6593788127545741
decoder_holdout,memory_z,4,0.23561994562859706,-0.6372204306146958,1.1131723708707866
decoder_improved,memory_x,4,0.16695423243045626,-0.4063281777369999,0.5537891775010344
decoder_improved,memory_z,4,0.1681971686810237,-0.41006718749256166,0.591989576083704
decoder_kfold,memory_x,4,0.19891879551896713,-0.5072280877290118,0.7791604921804993
decoder_kfold,memory_z,4,0.2286555773554826,-0.6112191522256658,1.0547366885697402
postselect25,memory_x,4,0.1531784214349674,-0.3657976335223491,0.6727522857914527
postselect25,memory_z,4,0.14465276796649673,-0.34151266858864937,0.6205743761675585
